ID,Client IP,System Name,Status,Hostname,OS Name,License Status,Disk Space (GB),RAM (GB),AV Status,Firewall Status,Raw JSON/Error
1,10.1.1.10,,Failed,,,,,,,,"""Port Closed"""
2,10.1.1.1,,Failed,,,,,,,,"""Port Closed"""
3,10.1.1.101,,Failed,,,,,,,,"""Port Closed"""
4,10.1.1.100,,Failed,,,,,,,,"""Port Closed"""
5,10.1.1.102,,Failed,,,,,,,,"""Port Closed"""
6,10.1.1.103,,Failed,,,,,,,,"""Port Closed"""
7,10.1.1.104,,Failed,,,,,,,,"""Port Closed"""
8,10.1.1.105,,Failed,,,,,,,,"""Port Closed"""
9,10.1.1.106,,Failed,,,,,,,,"""Port Closed"""
10,10.1.1.107,,Failed,,,,,,,,"""Port Closed"""
11,10.1.1.108,,Failed,,,,,,,,"""Port Closed"""
12,10.1.1.109,,Failed,,,,,,,,"""Port Closed"""
13,10.1.1.11,,Failed,,,,,,,,"""Port Closed"""
14,10.1.1.110,,Failed,,,,,,,,"""Port Closed"""
15,10.1.1.111,,Failed,,,,,,,,"""Port Closed"""
16,10.1.1.112,,Failed,,,,,,,,"""Port Closed"""
17,10.1.1.113,,Failed,,,,,,,,"""Port Closed"""
18,10.1.1.114,,Failed,,,,,,,,"""Port Closed"""
19,10.1.1.115,,Failed,,,,,,,,"""Port Closed"""
20,10.1.1.116,,Failed,,,,,,,,"""Port Closed"""
21,10.1.1.117,,Failed,,,,,,,,"""Port Closed"""
22,10.1.1.118,,Failed,,,,,,,,"""Port Closed"""
23,10.1.1.119,,Failed,,,,,,,,"""Port Closed"""
24,10.1.1.12,,Failed,,,,,,,,"""Port Closed"""
25,10.1.1.120,,Failed,,,,,,,,"""Port Closed"""
26,10.1.1.121,,Failed,,,,,,,,"""Port Closed"""
27,10.1.1.122,,Failed,,,,,,,,"""Port Closed"""
28,10.1.1.123,,Failed,,,,,,,,"""Port Closed"""
29,10.1.1.124,,Failed,,,,,,,,"""Port Closed"""
30,10.1.1.125,,Failed,,,,,,,,"""Port Closed"""
31,10.1.1.126,,Failed,,,,,,,,"""Port Closed"""
32,10.1.1.127,,Failed,,,,,,,,"""Port Closed"""
33,10.1.1.128,,Failed,,,,,,,,"""Port Closed"""
34,10.1.1.129,,Failed,,,,,,,,"""Port Closed"""
35,10.1.1.13,,Failed,,,,,,,,"""Port Closed"""
36,10.1.1.130,,Failed,,,,,,,,"""Port Closed"""
37,10.1.1.131,,Failed,,,,,,,,"""Port Closed"""
38,10.1.1.132,,Failed,,,,,,,,"""Port Closed"""
39,10.1.1.133,,Failed,,,,,,,,"""Port Closed"""
40,10.1.1.134,,Failed,,,,,,,,"""Port Closed"""
41,10.1.1.135,,Failed,,,,,,,,"""Port Closed"""
42,10.1.1.136,,Failed,,,,,,,,"""Port Closed"""
43,10.1.1.137,,Failed,,,,,,,,"""Port Closed"""
44,10.1.1.138,,Failed,,,,,,,,"""Port Closed"""
45,10.1.1.14,,Failed,,,,,,,,"""Port Closed"""
46,10.1.1.139,,Failed,,,,,,,,"""Port Closed"""
47,10.1.1.140,,Failed,,,,,,,,"""Port Closed"""
48,10.1.1.141,,Failed,,,,,,,,"""Port Closed"""
49,10.1.1.142,,Failed,,,,,,,,"""Port Closed"""
50,10.1.1.143,,Failed,,,,,,,,"""Port Closed"""
